,Explained Variance,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports
Dimension 27,0.0,-0.0479,0.009,0.0049,0.2507,0.1502,-0.0985,0.0681,-0.1241,0.0587,-0.034,0.0745,0.0809,0.2729,-0.269,-0.0206,-0.3884,0.0746,0.3607,-0.0735,0.054,0.0329,0.0026,0.419,0.278,0.2896,-0.1023,-0.1143,0.0122,0.0651,-0.0462,-0.1677,-0.0161,0.0462,-0.047,0.0271,-0.0246,-0.0246,-0.0325,0.0072,0.0002,0.1413
Dimension 28,0.0,-0.2059,0.0084,0.0247,0.1105,0.3258,-0.1138,0.2139,0.0376,-0.0021,-0.1879,-0.1351,-0.0309,-0.0033,-0.2111,0.2958,0.3482,-0.4666,-0.0895,-0.0683,0.087,0.0624,-0.0013,0.1361,0.0917,0.0891,-0.0736,0.2177,-0.0231,0.0318,-0.0298,0.1039,-0.0067,0.0808,-0.0839,0.0342,0.0408,0.0408,-0.0594,-0.0038,-0.0004,-0.326
Dimension 29,0.0,0.0011,-0.0003,0.0033,0.1871,-0.0243,0.0334,-0.0204,0.0259,0.0243,0.017,-0.0043,-0.1012,-0.0037,0.0238,-0.0307,0.0078,-0.0052,-0.016,-0.0553,0.7489,-0.6114,-0.0315,-0.0535,-0.029,-0.0429,0.0069,0.0313,0.0115,-0.0032,0.0052,-0.0347,-0.0,-0.0144,0.0056,-0.0048,0.0015,0.0015,0.0029,0.0039,0.0001,0.0484
Dimension 30,0.0,-0.0256,0.0021,0.0196,0.6679,-0.0966,0.1944,-0.0641,0.0157,0.0421,0.1371,-0.0381,-0.2516,-0.1229,0.2247,0.1,-0.093,-0.222,0.0931,-0.1443,0.0488,0.3707,-0.0549,-0.1468,-0.0865,-0.1093,0.0482,-0.1594,0.0159,0.0128,0.0129,-0.1725,0.007,-0.0474,0.0208,-0.0139,-0.042,-0.042,0.0101,0.0089,0.0001,-0.0664
Dimension 31,0.0,0.0277,-0.0039,-0.0066,0.2449,0.0541,-0.1239,0.0068,0.1331,0.1141,-0.117,0.0118,-0.3072,0.154,-0.2328,-0.3259,0.1712,0.2251,-0.2274,-0.1115,-0.0205,0.1891,-0.0291,-0.0557,-0.0202,-0.0536,-0.0457,0.4821,0.0102,-0.0201,0.0001,0.0068,0.007,-0.0151,-0.0064,-0.0098,0.069,0.069,-0.0033,0.0021,0.0003,0.4065
Dimension 32,0.0,-0.0618,0.0246,0.0255,0.2169,0.2374,0.1478,0.1665,-0.0212,-0.0288,-0.1218,0.0255,0.2703,-0.6225,0.0565,-0.2471,0.3087,0.1763,-0.0121,0.0509,-0.0165,-0.0182,0.0114,0.1537,0.0959,0.1117,-0.0052,-0.2402,-0.0157,-0.0013,-0.0133,0.0603,-0.0212,0.0246,0.0124,-0.0081,0.0163,0.0163,-0.0336,-0.0077,0.0004,0.246
Dimension 33,0.0,-0.0075,0.001,0.0062,-0.0555,0.327,-0.1358,0.2083,-0.0223,-0.174,0.2793,0.2392,-0.4444,-0.3703,-0.0912,0.0662,-0.2781,-0.0191,0.0711,0.1617,-0.1819,-0.2019,0.2336,-0.0904,-0.0533,-0.0658,-0.1032,0.1487,0.0002,-0.0331,0.013,-0.163,0.0078,-0.0097,-0.0046,-0.006,-0.0105,-0.0105,-0.0297,0.0007,-0.0001,-0.0142
Dimension 34,0.0,-0.0037,-0.0008,-0.0022,-0.2295,0.1214,-0.0467,0.0777,-0.0096,-0.0738,0.0949,0.0901,-0.0855,-0.1417,-0.0265,0.0144,-0.097,0.0561,0.0124,0.1852,0.2821,0.3004,-0.8063,0.0058,-0.0168,0.029,-0.0326,0.0294,-0.0227,-0.0169,0.0016,-0.0444,-0.0073,0.0199,0.0003,0.0015,-0.0008,-0.0008,0.0063,-0.0041,-0.0002,-0.0079
Dimension 35,0.0,-0.0013,0.0011,0.0031,-0.0234,0.0001,0.0191,-0.0022,0.0039,-0.0046,0.0066,0.0012,0.0087,-0.0124,-0.0094,0.0015,-0.0081,0.0002,0.0072,0.0097,0.0033,0.0068,-0.0245,0.0751,0.675,-0.7308,0.0037,-0.01,-0.0391,-0.0016,-0.0052,0.0139,-0.0012,0.0011,0.0036,-0.0068,0.003,0.003,0.0239,-0.0009,0.0002,-0.0061
Dimension 36,0.0,0.0071,-0.005,0.0008,-0.0837,-0.1001,0.5753,-0.067,0.3276,-0.0221,-0.0447,-0.0096,-0.0836,-0.0981,-0.53,0.0357,-0.12,-0.0003,-0.0197,0.0061,-0.0037,0.0029,0.001,0.0003,0.003,0.0062,0.0294,-0.0704,0.4057,-0.0447,0.0023,0.0786,-0.005,-0.0015,0.0108,0.0019,0.0225,0.0225,-0.1978,-0.0032,-0.0001,-0.07
Dimension 37,0.0,0.006,-0.0025,-0.023,0.0257,0.0384,-0.2817,0.0297,-0.1601,-0.0167,0.0246,0.0246,0.0501,0.0488,0.2878,-0.0108,0.0784,0.0104,-0.0106,-0.0021,0.0007,0.0072,-0.026,0.013,0.0389,-0.0321,-0.0212,0.0369,0.8145,-0.0392,0.0005,-0.0317,-0.0003,0.0029,0.0118,0.0119,-0.0123,-0.0123,-0.3518,0.0001,-0.0002,0.0142
Dimension 38,0.0,-0.0013,0.0005,0.0038,0.0221,-0.4298,-0.2994,0.6049,0.5197,-0.0021,0.0123,-0.0023,-0.0107,0.0109,0.0094,-0.0097,-0.0003,-0.0023,-0.0008,-0.0052,0.0,-0.0002,-0.0032,0.0214,-0.0073,-0.0104,-0.1866,-0.2295,-0.0029,-0.0003,-0.0001,-0.0102,-0.001,0.0028,-0.0042,0.0014,-0.0029,-0.0029,0.0006,-0.0003,-0.0001,0.0153
Dimension 39,0.0,-0.0002,0.0,-0.0,-0.0108,-0.2119,0.2055,0.2988,-0.3344,-0.0007,-0.0038,-0.0009,-0.0022,0.0049,-0.0011,-0.002,0.0063,-0.0047,0.0009,-0.0006,-0.0001,-0.0001,-0.002,-0.5659,0.469,0.3757,-0.0912,0.1475,-0.0025,0.0008,-0.0002,0.0094,-0.0004,0.0003,0.0001,0.0001,-0.0005,-0.0005,0.0007,0.0001,0.0,0.0059
Dimension 40,0.0,0.0012,-0.0,-0.0,0.012,0.2919,-0.3173,-0.4122,0.5081,0.0024,0.0136,0.0004,0.0051,-0.0054,0.0079,0.0029,-0.0023,0.0038,-0.0013,0.0001,0.0002,0.0001,0.0024,-0.3855,0.3219,0.2566,0.1255,-0.2271,0.0022,-0.0006,0.0006,-0.0089,0.0003,0.0001,-0.0008,0.0001,-0.0001,-0.0001,-0.0003,-0.0001,-0.0,-0.0074
Dimension 41,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.7071,-0.7071,-0.0,0.0,0.0,-0.0
